cohort,batch_size,status,total_atoms,total_edges,total_joints,peak_allocated_bytes,peak_reserved_bytes,records_per_second,mean_step_seconds,finite_loss_fraction,gpu_utilization_percent
mixed,4,PASS,3400,7138,535,39456768,46137344,115.734077,0.034562,1,13.75
mixed,8,PASS,6742,14142,1055,51867136,79691776,167.870367,0.047656,1,13.95
mixed,16,PASS,13276,27896,1984,70471680,90177536,209.350140,0.076427,1,15.3
mixed,32,PASS,26628,55898,4077,122211328,146800640,242.778589,0.131807,1,17.5
mixed,48,PASS,40061,84038,6202,162700288,203423744,255.373185,0.187960,1,17.1
mixed,64,PASS,52950,111078,8157,203016704,243269632,261.053979,0.245160,1,19.6
mixed,96,PASS,79186,166104,12299,286376448,318767104,283.091410,0.339113,1,17.75
mixed,128,PASS,105553,221370,16507,365996032,400556032,289.523874,0.442105,1,19.8
high_complexity,4,PASS,4167,8624,916,41746432,48234496,120.939622,0.033074,1,14.95
high_complexity,8,PASS,8608,17810,1919,57262080,79691776,165.944841,0.048209,1,13.8
high_complexity,16,PASS,17486,36228,3805,84578304,102760448,215.086677,0.074389,1,13.85
high_complexity,32,PASS,34301,71024,7467,135783424,178257920,255.770615,0.125112,1,16.85
high_complexity,48,PASS,51648,106928,11247,193890304,216006656,278.093844,0.172604,1,17.45
high_complexity,64,PASS,68552,141900,14983,241137152,262144000,289.660811,0.220948,1,18.7
high_complexity,96,PASS,102968,213126,22539,349839360,373293056,303.282723,0.316536,1,18.35
high_complexity,128,PASS,137633,284916,29957,442136576,509607936,307.679050,0.416018,1,18.8
